knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
1,40,75,1
1,43,52,1
1,75,42,2
2,33,34,2
1,73,22,1
3,40,98,1
0,9,74,1
3,69,19,1
2,68,14,1
2,62,25,1
2,75,52,1
2,50,65,2
1,17,49,2
1,27,60,1
0,16,49,2
0,69,100,2
3,18,51,1
2,17,62,1
1,67,34,2
0,22,6,1
0,48,47,1
1,62,7,2
1,10,64,1
0,58,27,1
3,36,66,2
2,37,8,1
0,63,31,1
0,59,41,1
1,56,99,2
2,75,45,2
3,44,13,1
1,8,92,1
3,32,99,2
3,24,34,1
1,11,55,2
1,13,61,1
2,22,93,1
1,28,84,2
0,6,93,1
2,9,21,2
3,4,32,2
0,66,40,2
1,58,80,2
3,29,13,1
3,15,49,2
0,31,21,1
3,74,43,2
3,66,71,1
3,24,97,2
3,74,19,2
0,59,97,2
0,41,89,2
1,61,71,2
2,20,66,1
0,28,10,2
0,22,71,1
3,15,24,2
1,11,93,1
0,18,64,1
0,68,17,1
2,23,63,2
0,73,48,1
0,45,60,2
2,48,63,1
0,22,41,2
2,11,27,2
3,76,74,2
1,13,32,1
3,32,56,1
2,25,62,1
0,65,82,2
1,62,63,2
1,45,9,1
2,12,4,1
3,42,52,2
3,36,66,1
1,21,83,1
3,37,65,1
2,17,64,2
0,25,82,2
2,72,54,2
1,76,15,2
3,75,99,1
0,46,28,1
3,73,91,1
3,29,61,1
1,11,43,1
3,76,12,2
2,77,20,2
3,4,34,2
1,36,90,1
3,1,47,1
1,65,76,1
1,14,48,1
1,61,89,2
0,53,41,1
3,33,87,2
2,16,81,1
3,78,91,1
2,67,17,2
1,15,60,1
2,29,94,2
3,8,3,1
3,9,85,1
2,30,99,1
3,44,19,1
2,23,99,1
0,1,74,1
2,79,31,2
1,79,5,1
1,62,31,2
0,28,13,1
0,76,28,2
2,48,62,2
2,64,43,2
1,13,79,2
0,14,6,2
3,4,41,1
3,13,80,1
2,58,68,1
0,3,26,1
1,45,18,2
2,68,94,2
3,21,57,2
0,6,53,1
1,29,28,1
2,75,71,1
0,58,64,2
1,54,72,2
0,13,16,1
3,20,64,2
2,23,24,1
2,69,47,2
1,42,10,1
1,33,52,2
1,15,71,2
1,63,14,2
2,40,43,2
0,12,9,1
0,45,30,1
0,7,59,1
2,31,47,2
1,80,50,1
2,63,39,2
2,43,37,1
0,43,59,2
1,25,86,2
2,35,38,1
0,65,64,1
3,77,18,1
1,9,58,2
3,3,3,2
3,16,80,2
0,31,26,2
3,2,32,2
0,43,91,1
0,77,26,2
1,13,75,2
3,3,89,2
1,43,18,2
1,66,70,2
0,15,35,2
0,8,35,2
0,8,99,2
1,37,32,2
0,10,31,1
3,34,84,1
1,55,71,1
0,65,87,2
3,77,67,1
2,16,41,2
2,27,27,2
0,24,17,2
2,34,18,2
2,57,56,1
1,40,40,2
2,31,82,1
1,55,3,2
1,33,15,1
0,44,14,1
1,60,75,2
0,58,78,2
0,3,30,2
2,77,32,2
2,25,67,2
1,75,11,1
0,67,53,2
2,68,52,2
2,71,25,1
2,14,22,1
1,53,58,1
3,70,27,1
0,64,77,1
0,24,25,2
1,15,38,2
0,32,62,1
2,78,7,1
0,6,55,2
0,57,10,2
3,34,14,2
1,21,50,1
3,47,56,2
0,67,49,1
1,34,18,2
3,57,60,1
1,9,28,1
0,10,77,1
2,78,51,1
2,8,49,1
0,24,54,1
1,41,59,1
0,23,87,1
2,7,26,2
1,36,3,2
2,42,25,2
1,26,19,1
0,35,61,1
1,72,19,2
3,55,25,2
3,60,19,1
2,76,2,1
1,7,8,2
3,66,17,2
1,78,47,2
0,38,76,1
2,36,73,1
1,77,60,1
1,56,62,2
2,6,22,1
0,7,12,1
2,5,49,1
3,44,82,2
3,58,35,2
1,78,77,2
2,57,3,2
1,62,90,1
1,80,47,1
1,69,67,2
2,65,94,2
3,38,45,1
2,36,3,2
0,40,24,1
3,46,15,2
0,19,14,1
1,73,7,1
0,68,52,1
0,48,64,2
0,71,63,1
0,27,12,1
3,42,64,2
3,33,5,2
3,50,39,1
2,16,65,2
0,38,3,2
1,74,52,2
2,44,24,2
3,61,51,2
1,62,59,2
2,26,48,1
2,76,18,1
3,10,15,1
3,65,28,1
3,33,46,2
2,2,83,2
3,77,49,2
1,19,48,1
2,62,21,2
0,44,63,2
1,46,17,2
2,74,22,2
3,56,14,2
1,46,76,2
2,67,37,1
2,55,9,2
2,63,91,2
3,6,3,2
0,16,1,1
3,41,51,1
1,50,41,2
2,17,48,1
3,16,24,2
2,77,17,2
0,3,88,2
1,72,38,1
2,5,8,1
2,7,39,2
2,12,31,1
1,65,87,2
3,36,59,2
3,15,16,2
2,45,15,1
2,37,94,2
3,56,26,2
2,19,93,1
1,62,71,2
1,61,78,2
2,50,62,1
1,6,75,2
1,20,28,2
1,54,86,2
2,25,53,2
3,62,83,1
0,54,4,2
2,8,19,1
0,46,42,1
3,34,53,1
3,4,65,1
0,69,55,2
3,70,71,2
0,14,71,2
1,45,42,2
2,60,65,1
0,4,46,1
0,59,44,1
2,42,36,2
3,24,55,2
1,25,7,1
3,30,54,1
3,45,48,2
3,63,91,2
2,77,8,2
1,3,83,2
0,34,42,2
0,69,2,2
2,34,79,1
1,19,81,1
2,68,80,2
3,68,12,2
1,47,32,1
0,70,68,1
0,46,26,2
0,73,86,2
0,51,71,2
2,57,9,2
0,19,6,2
0,71,53,1
1,61,79,1
3,27,60,1
2,52,21,2
1,78,37,2
0,7,8,2
0,44,59,2
2,7,36,2
2,57,51,1
3,9,40,1
2,9,36,1
1,39,84,1
3,24,87,2
0,33,100,1
2,55,1,1
0,76,53,1
0,45,74,1
0,37,97,1
3,59,47,1
2,14,36,2
0,13,54,1
2,13,61,1
1,9,57,1
2,50,54,2
3,32,76,2
2,77,56,2
3,51,49,2
0,34,74,1
3,26,84,1
2,43,29,1
0,68,29,2
3,31,54,1
3,20,59,2
1,71,13,1
1,56,74,1
2,50,10,2
0,77,95,2
3,4,74,1
0,1,66,1
2,50,15,1
2,68,22,2
0,76,4,2
1,73,14,2
1,5,60,1
0,3,83,1
0,65,12,2
3,74,89,2
3,77,70,1
0,37,23,2
1,75,79,2
0,55,22,2
1,63,42,2
1,25,92,2
3,6,94,2
2,38,66,2
3,41,72,1
3,18,44,2
2,51,39,1
1,40,93,1
0,59,80,1
0,54,88,1
1,67,95,2
1,34,83,2
2,58,99,1
3,78,24,1
3,40,45,2
1,80,87,1
1,45,21,2
3,53,33,2
2,68,8,2
3,76,8,1
1,11,41,1
0,23,38,2
2,50,97,1
0,43,84,1
3,68,45,2
1,58,46,2
2,53,36,1
2,29,37,2
3,4,51,1
2,49,65,1
2,44,60,1
1,33,46,1
0,39,91,2
3,79,84,2
3,64,50,2
0,3,24,2
3,31,60,1
0,13,7,1
0,78,67,1
2,44,70,2
3,64,37,1
2,9,92,1
3,43,76,2
3,34,86,2
1,64,83,2
3,29,5,2
2,21,22,2
1,13,40,2
0,37,75,2
3,77,2,2
3,49,65,1
3,7,42,2
2,22,72,2
0,43,9,1
3,35,8,2
1,52,83,2
2,50,25,1
2,51,30,2
3,64,33,1
0,26,24,2
1,68,38,2
2,5,64,1
3,61,60,1
0,30,97,2
3,15,95,1
0,67,47,2
2,73,89,2
0,20,45,2
1,65,40,2
1,23,55,1
1,37,32,1
1,40,41,2
0,40,51,1
2,8,4,1
0,31,30,2
0,6,95,2
0,16,11,1
0,1,78,1
1,70,39,1
3,65,34,2
2,59,20,2
1,37,15,2
3,16,86,1
2,56,23,1
1,9,75,2
1,42,19,2
2,62,9,1
2,62,29,2
0,74,67,1
0,41,81,2
2,34,11,2
3,39,100,1
2,17,90,1
0,50,16,1
0,60,75,2
1,80,14,1
3,48,83,1
0,78,95,1
0,48,90,1
3,67,52,2
2,39,39,1
0,18,26,2
3,14,36,1
3,17,54,2
2,76,63,2
3,63,13,2
1,25,65,2
2,9,57,2
3,23,62,2
2,76,100,1
2,49,80,2
1,10,97,2
3,55,26,1
1,9,91,2
1,15,96,2
2,41,69,2
2,26,27,2
1,41,35,1
1,61,29,2
1,25,37,1
0,13,19,1
0,73,26,1
2,44,59,1
3,14,97,1
0,38,91,1
2,26,57,1
2,36,31,1
1,77,57,2
0,79,84,1
3,12,86,1
3,21,29,1
2,60,15,2
1,79,23,2
2,10,41,2
0,79,71,2
1,61,45,1
1,23,74,2
1,49,100,2
2,19,35,2
3,27,18,2
1,26,30,2
1,30,93,1
0,57,40,1
1,25,5,2
2,10,43,1
2,33,92,2
1,24,12,1
2,26,90,1
3,80,12,1
1,77,99,1
0,70,9,2
0,32,36,2
2,51,47,2
0,59,84,2
1,12,85,1
1,74,61,1
2,31,86,1
2,16,95,1
3,47,64,2
3,43,51,1
0,37,87,2
2,41,77,1
3,14,29,2
2,78,69,2
1,79,93,1
1,24,34,1
2,65,16,2
3,54,85,2
2,63,23,1
0,10,26,1
1,61,65,2
0,47,53,1
0,40,74,1
3,54,1,1
